state,type,portal,project_id,project_name,bid_due_date,document_url,file_name,file_size,spec_format,divisions,gcs_path,retrieved_date,status,doc_type
Maine,Vertical,maine_vertical,3809,3809,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3809_Addendum_1_SMCC_%231_Responses.pdf,3809_Addendum_1_SMCC_%231_Responses.pdf,1396150,,,gs://specindex-ai-raw-documents/specs/MAINE/3809/addendum_3809_Addendum_1_SMCC_-231_Responses.pdf,2026-08-07,downloaded,addendum
Maine,Vertical,maine_vertical,3809,3809,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3809_Addendum_2_SMCC.pdf,3809_Addendum_2_SMCC.pdf,2671880,CSI,01;13;23;26,gs://specindex-ai-raw-documents/specs/MAINE/3809/addendum_3809_Addendum_2_SMCC.pdf,2026-08-07,downloaded,addendum
Maine,Vertical,maine_vertical,3809,3809,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3809_Addendum_3_SMCC.pdf,3809_Addendum_3_SMCC.pdf,453336,,,gs://specindex-ai-raw-documents/specs/MAINE/3809/addendum_3809_Addendum_3_SMCC.pdf,2026-08-07,downloaded,addendum
Maine,Vertical,maine_vertical,3809,3809,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3809_Addendum_4_SMCC.pdf,3809_Addendum_4_SMCC.pdf,10358974,CSI,00;01;02;03;05;06;07;08;09;10;11;12;21;22;23;26;27;28;31;32;33,gs://specindex-ai-raw-documents/specs/MAINE/3809/addendum_3809_Addendum_4_SMCC.pdf,2026-08-07,downloaded,addendum
Maine,Vertical,maine_vertical,3809,3809,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3809_Addendum_5_SMCC.pdf,3809_Addendum_5_SMCC.pdf,859935,,,gs://specindex-ai-raw-documents/specs/MAINE/3809/addendum_3809_Addendum_5_SMCC.pdf,2026-08-07,downloaded,addendum
Maine,Vertical,maine_vertical,3809,3809,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3809_Addendum_6_SMCC.pdf,3809_Addendum_6_SMCC.pdf,441484,,,gs://specindex-ai-raw-documents/specs/MAINE/3809/addendum_3809_Addendum_6_SMCC.pdf,2026-08-07,downloaded,addendum
Maine,Vertical,maine_vertical,3809,3809,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3809_Drawings_MCCS.pdf,3809_Drawings_MCCS.pdf,17653350,CSI,03;04;08;21;23;26;27,gs://specindex-ai-raw-documents/specs/MAINE/3809/drawings_3809_Drawings_MCCS.pdf,2026-08-07,downloaded,drawings
Maine,Vertical,maine_vertical,3809,3809,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3809_Legal_Ad_MCCS.pdf,3809_Legal_Ad_MCCS.pdf,128756,,,gs://specindex-ai-raw-documents/specs/MAINE/3809/advertisement_3809_Legal_Ad_MCCS.pdf,2026-08-07,downloaded,advertisement
Maine,Vertical,maine_vertical,3809,3809,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3809_Notice_to_Contractors_MCCS.pdf,3809_Notice_to_Contractors_MCCS.pdf,134317,,,gs://specindex-ai-raw-documents/specs/MAINE/3809/notice_3809_Notice_to_Contractors_MCCS.pdf,2026-08-07,downloaded,notice
Maine,Vertical,maine_vertical,3809,3809,,https://www.maine.gov/dafs/bgs/sites/maine.gov.dafs.bgs/files/inline-files/3809_Pre_Bid_Sign_in_sheet.pdf,3809_Pre_Bid_Sign_in_sheet.pdf,187671,,,gs://specindex-ai-raw-documents/specs/MAINE/3809/drawings_3809_Pre_Bid_Sign_in_sheet.pdf,2026-08-07,downloaded,drawings
